resource,consumer
Octopus tehuelchus,Octopus tehuelchus
Pagurus comptus,Octopus tehuelchus
Polychaeta,Octopus tehuelchus
Rochinia gracilipes,Octopus tehuelchus
Tegula patagonica,Octopus tehuelchus
Trophon geversianus,Octopus tehuelchus
Amphipoda,Odontesthes spp
Decapoda,Odontesthes spp
Munida gregaria,Odontesthes spp
Odontesthes spp,Odontesthes spp
zooplankton,Odontesthes spp
Bivalve,Odontocymbiola magellanica
detritus,Odontocymbiola magellanica
Gasteropods,Odontocymbiola magellanica
detritus,ophiuroids
Acanthistius patachonicus,Orcinus orca
Arctocephalus australis,Orcinus orca
Callorhinchus callorynchus,Orcinus orca
Dipturus chilensis,Orcinus orca
Eubalaena australis,Orcinus orca
Illex argentinus,Orcinus orca
Lagenorhynchus obscurus,Orcinus orca
Merluccius hubbsi,Orcinus orca
Mirounga leonina,Orcinus orca
Mustelus schmitti,Orcinus orca
Myliobatis goodei,Orcinus orca
Notorynchus cepedianus,Orcinus orca
Otaria flavescens,Orcinus orca
Paralichthys spp,Orcinus orca
Polyprion americanus,Orcinus orca
Pseudopercis semifasciata,Orcinus orca
Squalus acanthias,Orcinus orca
phytoplankton,Ostracoda
POM,Ostracoda
Doryteuthis gahi,Otaria flavescens
Acanthistius patachonicus,Otaria flavescens
Engraulis anchoita,Otaria flavescens
Enteroctopus megalocyathus,Otaria flavescens
Genypterus blacodes,Otaria flavescens
Illex argentinus,Otaria flavescens
Merluccius hubbsi,Otaria flavescens
Myxine spp,Otaria flavescens
Nemadactylus bergi,Otaria flavescens
Paralichthys spp,Otaria flavescens
Patagonotothen spp,Otaria flavescens
Percophis brasiliensis,Otaria flavescens
Pleoticus muelleri,Otaria flavescens
Pseudopercis semifasciata,Otaria flavescens
Octopus tehuelchus,Otaria flavescens
Raneya spp,Otaria flavescens
Seriolella punctata,Otaria flavescens
Stromateus brasiliensis,Otaria flavescens
Trachurus lathami,Otaria flavescens
Triathalassothia argentina,Otaria flavescens
Doryteuthis sanpaulensis,Otaria flavescens
detritus,Ovalipes trimaculatus
Bivalve,Pagurus comptus
Gasteropods,Pagurus comptus
Amphipoda,Paralichthys spp
Cyrtograpsus spp,Paralichthys spp
Dules auriga,Paralichthys spp
Engraulis anchoita,Paralichthys spp
Raneya spp,Paralichthys spp
Trachurus lathami,Paralichthys spp
Pleoticus muelleri,Paralichthys spp
Illex argentinus,Paralichthys spp
isopods,Paralichthys spp
Odontesthes spp,Paralichthys spp
Pterygosquilla armata armata,Paralichthys spp
Peisos petrunkevitchi,Paralichthys spp
Munida gregaria,Paralichthys spp
Majidae,Paralichthys spp
Cynoscion guatucupa,Paralichthys spp
Doryteuthis sanpaulensis,Paralichthys spp
Engraulis anchoita,Parona signata
Euphausiacea,Parona signata
Illex argentinus,Parona signata
Mnemiopsis leidyi,Parona signata
Munida gregaria,Parona signata
Amphipoda,Patagonotothen spp
Polychaeta,Patagonotothen spp
Doryteuthis gahi,Patagonotothen spp
Copepoda,Patagonotothen spp
Euphausiacea,Patagonotothen spp
Themisto gaudichaudii,Patagonotothen spp
detritus,Peisos petrunkevitchi
detritus,Peltarion spinosulum
Artemesia longinaris,Percophis brasiliensis
Bivalve,Percophis brasiliensis
Cynoscion guatucupa,Percophis brasiliensis
Decapoda,Percophis brasiliensis
Dules auriga,Percophis brasiliensis
Engraulis anchoita,Percophis brasiliensis
Mullus argentinae,Percophis brasiliensis
Octopus tehuelchus,Percophis brasiliensis
Polychaeta,Percophis brasiliensis
Raneya spp,Percophis brasiliensis
Scomber colias,Percophis brasiliensis
Trachurus lathami,Percophis brasiliensis
Doryteuthis sanpaulensis,Percophis brasiliensis
POM,Perumytilus purpuratus
phytoplankton,Perumytilus purpuratus
Doryteuthis gahi,Phalacrocorax atriceps
Agonopsis chiloensis,Phalacrocorax atriceps
